德感工业园物流园片区平场工程（二期）及物流园片区路网工程一期工程项目勘察设计（第二次）中标结果公告,招标代理机构：,中机中联工程有限公司,103,"
				                【信息时间：2018-05-10】【字号 "
开达高速沿线建筑立面环境整治项目（一期）（第二次）中标结果公告,重庆市开州区城乡基础设施建设管理处,重庆市澳泰建筑工程有限公司,13000135.97,"
				                【信息时间：2018-04-23】【字号 "
桃花源旅游新城—游客集散中心至农场道路改造工程施工中标结果公告,招标代理机构：,河南省光大路桥工程有限公司,3402.868773,"
				                【信息时间：2018-04-23】【字号 "
工职院以北片区基础设施建设绿化工程（花湾路、观湖路等道路）中标结果公告,,,,"
				                【信息时间：2018-04-16】【字号 "
长寿区阳鹤山片区排洪工程—鹅子沟水库溢洪道工程施工监理中标结果公告,招标代理机构：,重庆财汇工程管理有限公司,13.7,"
				                【信息时间：2018-04-16】【字号 "
江津区滨江商务大厦（智能化系统和室外景观）设计（第二次）招标公告中标结果公告,招标代理机构：,重庆市设计院,119.059,"
				                【信息时间：2018-04-16】【字号 "
双福中央城市土地整治项目勘察设计招标公告中标结果公告,重庆市双福建设开发有限公司,重庆中设工程设计股份有限公司,253,"
				                【信息时间：2018-04-16】【字号 "
忠县黄金镇大山村农村移民安置区精准帮扶项目（人行道硬化工程）中标结果公告,忠县黄金镇人民政府,中冕建设有限公司,108.716253,"
				                【信息时间：2018-04-16】【字号 "
重庆第二师范学院综合实验实训大楼建设工程精装修设计,,,,"
				                【信息时间：2018-04-16】【字号 "
奉节县高山生态扶贫搬迁融资资金红土乡集镇白改黑及配套设施工程中标结果公告,奉节县红土乡人民政府,奉节县华东建筑工程有限责任公司,246.748439,"
				                【信息时间：2018-04-16】【字号 "
奉节县2017年度山洪灾害防治项目中标结果公告,奉节县水文管理站,重庆博通水利信息网络有限公司,设备设施投标报价：196.8669万元，山洪灾害评价报价：85.0068万元,"
				                【信息时间：2018-04-16】【字号 "
岚峰-古佛山国家森林公园（一期）上山公路拓宽工程中标结果公告, , , ,"
				                【信息时间：2018-04-16】【字号 "
原重庆钢铁集团原址场地治理修复工程（污染土壤环境风险管控示范项目）一阶段（第二次）中标结果公告,招标代理机构：重庆招标采购（集团）有限责任公司,中机中联工程有限公司,,"
				                【信息时间：2018-04-16】【字号 "
重庆三峡学院新校区二期实验实训楼（文科实验楼）、实验实训楼（文科实训楼）、美术学院综合楼、公共教学楼五、六,,,,"
				                【信息时间：2018-04-17】【字号 "
南北大道综合养护服务区二期建设工程中标结果公告,,,,"
				                【信息时间：2018-04-17】【字号 "
江津区滨江新城滨洲路（K1+685.553~K2+523、K4+040~K4+239.31段）等4条道路附属工程（监理）招标公告中标结果公告,招标代理机构：,浙江东亿工程管理有限公司,6.75,"
				                【信息时间：2018-04-17】【字号 "
重庆市急救中心及重庆市第四人民医院外科楼改扩建工程设计中标结果公告,重庆市急救医疗中心,重庆市全城建筑设计有限公司,110,"
				                【信息时间：2018-04-17】【字号 "
重庆市长寿区阳鹤山片区一期道路工程—南北中路工程检验测试中标结果公告,招标代理机构：,重庆科融建筑工程质量检测有限公司,401200.00,"
				                【信息时间：2018-04-17】【字号 "
江津区支坪白溪（笋溪河）大桥及引道项目勘察设计中标结果公告,招标代理机构： 四川大家工程项目管理有限公司,重庆市交通规划勘察设计院,210,"
				                【信息时间：2018-04-17】【字号 "
奉节县天赐胜景改善农村人居环境市级示范片（兴隆镇回龙村、荆竹村、小寨村）施工中标结果公告,奉节县兴隆镇人民政府,重庆悦强建筑工程有限公司,313.48024 ,"
				                【信息时间：2018-04-17】【字号 "
忠县东溪镇兴旺村农村移民安置区精准帮扶项目中标结果公告,忠县东溪镇人民政府,四川都美建设有限公司,635.1593,"
				                【信息时间：2018-04-17】【字号 "
万州区塘坊新城区场平及基础设施三区工程3#挡墙外侧边坡支护-桩及承台,,,,"
				                【信息时间：2018-04-17】【字号 "
兴隆镇八穴小学校教学综合楼、学生宿舍、学生食堂及附属工程中标结果公告,酉阳土家族苗族自治县兴隆镇中心小学校,重庆辉泓建筑工程有限公司,226.411429,"
				                【信息时间：2018-04-18】【字号 "
奉节县五马镇等6个乡镇7座污水处理设施管网工程建设项目监理（第二次）,,,,"
				                【信息时间：2018-04-18】【字号 "
重庆长寿经济技术开发区晏家河综合整治工程中标结果公告,招标代理机构：,重庆宏耀建设（集团）有限公司,6497137.76,"
				                【信息时间：2018-04-19】【字号 "
丰都县青龙至十直农村公路改建工程（瓦屋山段）中标结果公告,招标代理机构：,重庆市爆破工程建设有限责任公司,6299,"
				                【信息时间：2018-04-19】【字号 "
长寿区江南街道污水处理厂改建工程EPC总承包招标中标结果公告,招标代理机构：重庆招标采购（集团）有限责任公司,重庆乐邦环保机电研究所有限公司,设计费：,"
				                【信息时间：2018-04-19】【字号 "
忠县银山安置点初步设计及施工图设计中标结果公告, , , ,"
				                【信息时间：2018-04-19】【字号 "
忠县银山安置点方案设计中标结果公告,招标代理机构：,上海同建强华建筑设计有限公司,184.7,"
				                【信息时间：2018-04-19】【字号 "
2018年新峰叉马路至保安、清广二路至双河、古昌至杜家坝、古昌至保安、白鹅大院至天宝界、广顺至荣隆补植行道树工程中标结果公告, , ,,"
				                【信息时间：2018-04-19】【字号 "
第四人民法庭审判业务用房建设项目中标结果公告, ,重庆悦强建筑工程有限公司,374.284188,"
				                【信息时间：2018-04-19】【字号 "
石柱县黄水镇吕家梁至化杠坪小康路通畅工程中标结果公告, , ,,"
				                【信息时间：2018-04-19】【字号 "
曾家镇卫生院住院部扩建工程,,,,"
				                【信息时间：2018-04-19】【字号 "
万州区东北部城市拓展区供水工程勘察设计,,,,"
				                【信息时间：2018-04-20】【字号 "
万州计量质量检测基地装修及智能化工程二标段（含土建及消防改造工程）,,,,"
				                【信息时间：2018-04-20】【字号 "
第二标段（线材类）,,,,"
				                【信息时间：2018-04-20】【字号 "
万州区通镇乡公路升级改造暨易地扶贫搬迁配套设施（交通）建设项目X552余龙路延长段工程,,,,"
				                【信息时间：2018-04-20】【字号 "
万州区龙驹镇（深度贫困镇）农村建设用地复垦项目（一标段）测绘设计,,,,"
				                【信息时间：2018-04-20】【字号 "
万州区龙驹镇（深度贫困镇）农村建设用地复垦项目（二标段）测绘设计,,,,"
				                【信息时间：2018-04-20】【字号 "
彩票公益设施（大垭乡通畅公路工程）建设项目中标结果公告,招标代理机构：,四川兴林建设工程有限公司,1083.249751,"
				                【信息时间：2018-04-20】【字号 "
江津区白沙片区棚户区暨城中村改造东华街民生街旅游环境综合整治工程测量及设计服务招标公告中标结果公告,招标代理机构：,重庆迅驰电气有限公司,765800.78  ,"
				                【信息时间：2018-04-20】【字号 "
2018年荣隆-吴家绿化补植工程中标结果公告,重庆市荣昌区公路局,重庆浩成建筑园林景观工程有限公司,167.345221,"
				                【信息时间：2018-04-20】【字号 "
镇安镇歇马村公路改造工程中标结果公告,招标代理机构：,四川省天胜园林工程有限公司,546.077617,"
				                【信息时间：2018-04-23】【字号 "
碧津公园管理房室内装修及外环境整治工程中标结果公告,,,,"
				                【信息时间：2018-04-23】【字号 "
